saleID,productID,quantity,price,description,createdAt
3114,7780,81,722.12,multi-state,10/25/2021 5:57
7916,4202,35,929.15,success,4/24/2021 5:12
2936,7813,74,562.23,User-centric,8/22/2021 16:43
5333,8905,39,548.41,Profit-focused,3/24/2021 9:49
5025,3962,19,985.15,workforce,8/30/2021 14:19
6879,2317,6,241.61,archive,9/23/2021 3:23
7977,5221,63,270.82,optimal,8/13/2021 0:48
9510,4302,78,644.16,zero tolerance,3/16/2021 4:16
6658,7374,98,335.22,circuit,3/17/2021 12:47
6676,7699,82,288.68,analyzer,2/5/2021 7:27
4830,5688,73,876.12,Compatible,2/3/2021 14:37
1951,3252,69,866.06,throughput,4/13/2021 12:47
9081,1812,34,829.47,neutral,5/14/2021 12:29
5195,8335,92,806.06,Distributed,4/26/2021 8:00
9842,6920,19,148.13,bifurcated,3/7/2021 21:31
9354,3389,17,943.35,Extended,10/9/2021 11:26
1445,6173,88,994.25,Synergistic,7/13/2021 21:29
9771,6450,39,314.92,solution,10/10/2021 13:53
9778,2317,15,28.77,intangible,10/6/2021 0:48
6027,8581,67,244.63,solution,4/12/2021 1:43
4974,8935,75,805.52,internet solution,7/21/2021 20:53
2293,3573,25,225.42,24/7,4/24/2021 7:17
7951,2384,84,120.1,product,6/23/2021 12:55
5117,2066,11,456.2,Multi-layered,2/18/2021 14:00
8828,3968,33,97.61,fresh-thinking,10/1/2021 12:53
8480,3729,41,975.93,Virtual,5/9/2021 8:15
8141,8483,72,641.06,Function-based,3/22/2021 7:50
4042,5622,61,938.21,Advanced,3/8/2021 15:52
6337,9927,7,793.27,capability,6/25/2021 2:31
1100,1913,97,951.49,framework,10/18/2021 16:42
7807,2755,56,475.27,Public-key,11/24/2020 13:56
9273,3820,8,978.14,modular,9/27/2021 21:13
4402,5718,65,613.36,monitoring,7/12/2021 18:55
9608,5242,84,415.2,groupware,4/5/2021 17:02
5654,2575,33,935.04,multi-state,12/18/2020 5:45
2412,4755,9,589.59,disintermediate,11/15/2020 0:33
4581,7114,52,882.73,emulation,8/30/2021 13:40
1024,4784,32,30.17,object-oriented,5/3/2021 6:08
8965,9764,59,344.04,capability,8/28/2021 13:54
6350,1122,41,258.63,success,10/4/2021 3:03
5977,2546,42,201.57,Virtual,5/24/2021 18:44
6650,9506,47,443.06,Optional,12/9/2020 14:07
8580,3861,63,255.31,Expanded,10/4/2021 8:32
2333,3923,6,679.83,moderator,4/20/2021 21:31
8654,8310,28,867.52,Up-sized,7/25/2021 1:23
3490,5077,48,136.46,Ergonomic,8/16/2021 16:30
6506,2919,74,367.5,definition,9/27/2021 15:21
3995,5675,58,226.48,demand-driven,5/7/2021 18:22
2106,5454,93,262.35,Multi-channelled,8/11/2021 15:45
4671,5907,11,249.12,forecast,3/2/2021 12:14
8383,1174,57,69.08,adapter,7/22/2021 20:29
2616,6663,28,729.6,multimedia,9/20/2021 17:25
3735,2369,60,80.61,Multi-tiered,12/10/2020 21:35
1437,8726,25,338.96,pricing structure,12/10/2020 20:51
5148,2906,70,934.83,approach,9/1/2021 9:24
6796,9395,84,217.66,optimal,8/19/2021 4:15
9072,4394,78,602.67,help-desk,2/24/2021 10:03
5756,5335,71,636.43,maximized,10/17/2021 15:08
5962,7483,35,317.33,upward-trending,6/29/2021 16:03
5157,3066,9,844.21,workforce,7/10/2021 13:30
