productID,name,brand,price,color,size,quantity,description,category,createdAt,updatedAt
1501,Duobam,Tromp LLC,391.68,Yellow,XL,272,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Odor Control,2021-05-30 22:48:27,2021-09-02 01:50:00
1502,Flexidy,Predovic-Hintz,47.79,Orange,XL,154,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Treats and Chews,2021-05-14 05:49:19,2021-07-24 07:28:04
1503,Flexidy,"Rice, McGlynn and Emard",220.39,Orange,S,229,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Grooming Supplies,2021-06-09 01:12:45,2021-08-18 10:23:08
1504,Gembucket,Brekke Group,284.21,Aquamarine,3XL,248,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Accessories,2021-06-16 17:34:05,2021-08-02 11:22:34
1505,Biodex,Tremblay Inc,175.55,Yellow,M,145,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Treats and Chews,2021-03-18 16:08:14,2021-09-15 23:30:01
1506,Bytecard,"Ryan, Harris and Runte",261.72,Fuscia,M,251,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Apparel,2021-02-23 22:34:58,2021-10-31 23:39:13
1507,Bytecard,Kerluke and Sons,282.55,Mauv,XL,131,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Vitamins and Supplements,2021-03-30 02:21:00,2021-09-22 02:14:37
1508,Namfix,Hahn Inc,20.67,Aquamarine,2XL,288,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Food,2021-01-05 18:16:14,2021-09-08 11:26:41
1509,Tempsoft,Wintheiser-Ritchie,81.45,Teal,M,207,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Toys,2021-05-05 07:14:14,2021-09-21 22:18:24
1510,Voltsillam,"Kuhlman, Orn and Howe",269.41,Indigo,3XL,142,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Grooming Supplies,2021-02-20 08:21:27,2021-09-14 10:12:20
1511,Daltfresh,Gerhold Inc,262.92,Violet,M,145,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Odor Control,2021-05-04 17:54:21,2021-08-10 15:20:49
1512,Fixflex,Block Inc,46.46,Red,3XL,103,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",Grooming Supplies,2021-02-17 19:56:29,2021-09-27 17:49:40
1513,Tin,Hermiston-Gottlieb,311.72,Blue,3XL,115,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Food,2021-01-23 22:41:10,2021-07-21 00:39:34
1514,Tampflex,Crist Group,227.23,Violet,L,221,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Apparel,2021-03-20 13:32:05,2021-08-11 23:53:15
1515,Matsoft,Kiehn-Leuschke,35.04,Red,M,230,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Grooming Supplies,2021-01-09 06:57:21,2021-08-10 07:11:16
1516,Zontrax,Murray-Boyer,155.34,Yellow,3XL,179,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Apparel,2021-03-12 14:47:48,2021-08-09 19:04:57
1517,Alpha,"Hermann, Jones and Parisian",97.12,Teal,XS,184,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Accessories,2021-05-07 18:33:24,2021-08-03 19:49:21
1518,Daltfresh,Pfeffer-Farrell,217.18,Fuscia,M,141,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Odor Control,2021-04-30 16:45:00,2021-07-24 13:32:59
1519,Home Ing,"Gottlieb, O'Keefe and Wisoky",281.21,Red,S,271,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Treats and Chews,2021-05-25 13:56:02,2021-08-31 03:10:00
1520,Trippledex,"Hegmann, Gibson and Raynor",76.93,Indigo,S,274,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",Apparel,2021-03-21 20:17:17,2021-08-08 15:32:39
1521,Matsoft,"Luettgen, Carroll and Heaney",171.39,Green,S,178,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Grooming Supplies,2021-02-20 21:15:47,2021-10-22 14:31:03
1522,Job,Anderson LLC,242.61,Pink,2XL,197,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Apparel,2021-01-14 14:23:25,2021-07-11 04:05:11
1523,Bigtax,"Halvorson, Grady and White",3.54,Purple,2XL,148,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Accessories,2021-03-29 11:29:10,2021-10-09 23:19:54
1524,Tampflex,"Murray, Grant and Bode",214.9,Red,3XL,196,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Toys,2020-12-03 02:10:51,2021-07-24 10:55:43
1525,Subin,"Brekke, Legros and Gleason",153.67,Fuscia,XS,157,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Toys,2021-03-13 21:14:09,2021-10-28 06:44:12
1526,Zoolab,"Larson, Von and Davis",316.63,Orange,2XL,163,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Vitamins and Supplements,2020-11-27 10:24:45,2021-07-19 12:37:28
1527,Kanlam,Bashirian-Fritsch,168.16,Puce,M,132,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Treats and Chews,2021-02-24 16:57:45,2021-11-05 20:27:07
1528,Bitwolf,"Gottlieb, Moen and Friesen",201.78,Puce,XL,188,In congue. Etiam justo. Etiam pretium iaculis justo.,Vitamins and Supplements,2021-04-20 06:46:48,2021-10-07 16:56:23
1529,Sonsing,"Lynch, Mohr and Considine",267.93,Pink,3XL,173,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",Vitamins and Supplements,2021-02-22 11:51:02,2021-07-10 13:37:35
1530,Trippledex,"Kihn, Klein and Grimes",344.82,Puce,XS,136,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Toys,2021-03-28 09:20:46,2021-10-04 03:55:33
1531,Veribet,Brown-Purdy,302.18,Blue,XS,247,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Odor Control,2021-02-20 20:42:52,2021-08-06 07:12:18
1532,Hatity,Daugherty Inc,186.58,Indigo,XL,234,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Treats and Chews,2020-11-17 13:51:16,2021-11-06 03:46:32
1533,Pannier,Herzog Inc,357.36,Orange,L,186,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Toys,2021-01-05 19:45:57,2021-07-04 23:09:49
1534,Stringtough,Johnston Group,260.26,Blue,3XL,272,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Vitamins and Supplements,2021-04-05 09:28:16,2021-07-13 09:11:05
1535,Bitwolf,Feil-Jast,84.42,Turquoise,2XL,147,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",Accessories,2021-05-14 08:36:17,2021-08-23 06:14:45
1536,Y-find,Stoltenberg-Kuvalis,68.8,Orange,S,252,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Treats and Chews,2021-02-21 14:21:20,2021-08-15 09:52:08
1537,Fixflex,"Christiansen, Hermiston and Bode",396.21,Violet,2XL,176,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Accessories,2020-12-31 22:48:55,2021-11-06 07:12:27
1538,Tres-Zap,Beatty LLC,55.04,Mauv,3XL,118,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Grooming Supplies,2021-04-04 05:15:56,2021-08-26 18:08:32
1539,Cardguard,O'Reilly LLC,191.33,Purple,XS,104,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Toys,2021-03-30 19:04:49,2021-08-01 17:55:36
1540,Zathin,"Rutherford, Halvorson and Schiller",94.09,Turquoise,3XL,201,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Accessories,2021-05-25 19:04:53,2021-09-26 22:14:16
1541,Bytecard,"Herzog, Klocko and Nitzsche",361.22,Khaki,3XL,106,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Grooming Supplies,2021-06-03 03:47:58,2021-10-28 08:50:55
1542,Viva,Cruickshank Inc,278.52,Violet,2XL,147,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Treats and Chews,2021-02-18 19:26:15,2021-10-27 16:46:28
1543,Job,Fadel Group,110.75,Yellow,XS,176,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Apparel,2021-05-17 14:45:01,2021-09-27 09:35:31
1544,Hatity,"Bogisich, Cormier and Bergnaum",70.85,Maroon,S,124,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,Food,2021-03-03 14:05:07,2021-07-31 14:35:43
1545,Fixflex,Reinger Group,318.77,Pink,2XL,277,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,Odor Control,2021-03-29 01:32:05,2021-09-08 16:35:07
1546,Namfix,Hills-Mayert,290.7,Purple,L,157,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Vitamins and Supplements,2021-02-13 23:33:45,2021-07-09 04:59:49
1547,Konklab,"Schoen, Funk and Waters",262.12,Mauv,3XL,300,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Treats and Chews,2021-03-27 15:42:58,2021-09-23 17:39:52
1548,Greenlam,Okuneva Inc,52.92,Puce,S,297,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",Apparel,2021-06-06 21:17:47,2021-08-23 10:04:18
1549,Sub-Ex,Wuckert-Cremin,253.63,Turquoise,L,108,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Grooming Supplies,2020-11-12 10:45:52,2021-07-28 12:15:56
1550,Domainer,Lueilwitz LLC,75.26,Puce,L,166,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",Vitamins and Supplements,2020-11-18 02:52:22,2021-10-10 15:28:31
1551,Cardify,Ernser Inc,212.41,Purple,2XL,232,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Treats and Chews,2020-11-10 23:11:17,2021-09-13 06:12:11
1552,Sub-Ex,Stanton-Aufderhar,377.81,Turquoise,XL,247,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Toys,2020-11-19 14:53:35,2021-09-24 15:19:29
1553,Voltsillam,Koelpin Group,324.48,Purple,S,221,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Accessories,2021-04-07 05:59:12,2021-10-29 20:42:42
1554,Bitwolf,Hayes-Kovacek,346.64,Maroon,M,174,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Accessories,2021-03-11 07:47:28,2021-07-03 01:14:14
1555,Flexidy,"Hickle, Bradtke and Boehm",214.46,Violet,M,288,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Vitamins and Supplements,2020-11-15 12:54:51,2021-09-03 18:45:36
1556,Daltfresh,Wiegand Group,218.81,Yellow,3XL,232,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Treats and Chews,2021-06-04 01:20:42,2021-08-18 10:07:23
1557,Ventosanzap,Schiller LLC,166.6,Goldenrod,3XL,250,In congue. Etiam justo. Etiam pretium iaculis justo.,Odor Control,2021-02-03 07:11:42,2021-09-25 04:33:56
1558,Matsoft,"Sanford, Hessel and Tromp",40.16,Crimson,XS,200,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,Vitamins and Supplements,2020-12-05 02:01:57,2021-10-04 06:39:41
1559,Fintone,"Robel, Jacobs and Towne",177.02,Pink,M,199,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,Vitamins and Supplements,2020-12-21 10:28:03,2021-10-14 00:11:55
1560,Rank,Huels-Heidenreich,376.32,Crimson,S,260,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,Accessories,2021-01-05 10:45:54,2021-08-02 10:25:28
1561,Overhold,"Hansen, Lang and Stracke",266.78,Violet,XS,179,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Food,2021-05-01 14:06:13,2021-09-23 08:31:16
1562,Stronghold,"Carroll, Veum and Marquardt",381.32,Goldenrod,XS,266,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",Vitamins and Supplements,2021-04-30 05:03:50,2021-11-03 21:35:07
1563,Aerified,"Kuhlman, Ebert and McDermott",255.7,Khaki,XL,241,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",Toys,2020-12-14 00:45:05,2021-09-26 09:26:07
1564,Tempsoft,Rohan Inc,177.71,Fuscia,XS,134,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Toys,2021-02-05 23:02:28,2021-09-24 03:00:54
1565,Bamity,Langworth-Shanahan,14.25,Turquoise,L,289,In congue. Etiam justo. Etiam pretium iaculis justo.,Treats and Chews,2021-06-16 09:30:49,2021-08-22 05:21:25
1566,Zathin,"Flatley, Kulas and Lakin",121.07,Maroon,M,233,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Food,2021-02-18 01:26:00,2021-07-20 18:57:45
