prescriptionID,productID,quantity,unit,description,createdAt
1538,1492,13,count,Tachyglossus aculeatus,2021-06-07 07:45:41
1823,1426,20,mil,Cygnus atratus,2021-01-23 01:20:13
1486,1469,20,mil,unavailable,2021-08-01 14:34:04
1544,1152,2,bottle,Vanessa indica,2021-06-08 17:32:04
1217,1088,4,gram,Ara ararauna,2021-02-10 09:20:13
1571,1500,12,package,Bassariscus astutus,2021-02-04 18:48:40
1146,1154,20,count,Laniaurius atrococcineus,2021-05-30 21:14:58
1161,1265,10,mg,Myrmecophaga tridactyla,2021-01-31 08:00:42
1742,1049,17,gram,Macropus fuliginosus,2021-09-18 04:48:16
1419,1234,13,pill,Tamiasciurus hudsonicus,2021-02-14 04:52:21
1570,1487,3,bottle,Picoides pubescens,2021-04-24 16:32:39
1708,1283,3,package,Melophus lathami,2021-10-06 10:52:25
1460,1451,20,bottle,Sarcorhamphus papa,2021-10-18 00:51:16
1215,1008,5,mg,Agelaius phoeniceus,2021-04-25 04:01:13
1867,1422,6,package,Dicrostonyx groenlandicus,2021-08-22 01:46:40
1124,1098,1,gram,Dendrocitta vagabunda,2021-05-30 02:11:36
1646,1263,8,package,Ctenophorus ornatus,2021-05-10 20:34:14
1811,1151,1,gram,Capreolus capreolus,2021-05-06 11:51:35
1982,1135,12,gram,Columba palumbus,2020-12-21 07:32:10
1693,1101,6,mil,Sterna paradisaea,2020-12-23 12:13:34
1664,1290,14,count,Ovis ammon,2021-08-02 02:14:28
1700,1127,3,count,Lamprotornis nitens,2021-10-19 11:28:33
1216,1057,9,package,Pelecans onocratalus,2021-06-09 01:38:55
1022,1326,19,pill,Haematopus ater,2021-08-28 14:41:17
1460,1428,11,bottle,Erinaceus frontalis,2021-08-01 08:40:27
1442,1185,20,bottle,Threskionis aethiopicus,2021-11-01 07:17:42
1038,1218,13,bottle,Antilocapra americana,2021-05-29 13:52:21
1037,1072,4,mil,Gazella granti,2021-06-08 14:16:04
1101,1169,17,count,Mephitis mephitis,2021-02-17 00:59:43
1904,1020,10,mil,Zalophus californicus,2021-05-30 02:11:44
1089,1053,18,package,Nesomimus trifasciatus,2021-11-01 18:40:05
1886,1157,6,gram,Upupa epops,2021-02-24 03:36:24
1170,1426,3,count,Acrobates pygmaeus,2021-04-09 14:13:16
1919,1211,17,pill,Phoenicopterus chilensis,2021-05-07 14:34:58
1703,1198,16,count,Sula dactylatra,2021-10-18 21:01:06
1934,1198,6,pill,Tiliqua scincoides,2021-05-06 04:55:13
1878,1009,7,mg,Vombatus ursinus,2021-06-23 05:37:11
1995,1271,16,count,Zenaida asiatica,2021-07-14 04:44:18
1598,1119,11,mg,Kobus defassa,2021-07-01 21:59:45
1440,1203,7,pill,Dasyurus viverrinus,2021-07-13 21:08:09
1484,1149,14,mil,Erethizon dorsatum,2021-03-13 07:15:15
1232,1444,15,mil,Varanus salvator,2020-11-30 02:23:53
1666,1496,11,bottle,Tenrec ecaudatus,2021-08-25 03:00:05
1879,1255,5,count,Tenrec ecaudatus,2021-05-13 19:49:39
1394,1415,11,mg,Semnopithecus entellus,2021-06-16 13:55:53
1925,1367,20,count,Stercorarius longicausus,2021-03-03 00:36:36
1577,1449,10,pill,Sciurus vulgaris,2021-08-03 04:15:04
1664,1428,8,package,Panthera pardus,2021-04-25 15:18:39
1022,1080,3,mil,Plocepasser mahali,2021-03-05 12:08:06
1237,1144,10,gram,Balearica pavonina,2020-12-10 10:13:59
1982,1087,12,pill,Aonyx cinerea,2021-05-16 11:40:04
1359,1055,7,bottle,Alligator mississippiensis,2021-08-16 10:49:38
1036,1370,1,pill,Canis lupus baileyi,2021-08-04 13:18:02
1425,1318,7,bottle,Laniarius ferrugineus,2020-11-23 16:32:44
1281,1051,20,count,Taxidea taxus,2021-01-16 09:09:24
1038,1230,5,gram,Anathana ellioti,2021-04-05 04:26:04
1765,1436,14,mil,Tadorna tadorna,2020-11-24 11:14:45
1295,1355,10,bottle,Bubalus arnee,2020-12-23 19:56:15
1089,1246,9,count,Diomedea irrorata,2021-04-24 15:43:25
1803,1294,5,gram,Aquila chrysaetos,2021-07-16 05:31:28
1440,1141,2,package,Vulpes chama,2021-03-06 22:31:51
1514,1209,2,mg,Cacatua tenuirostris,2021-01-03 14:45:06
1474,1321,5,mil,Cracticus nigroagularis,2021-05-08 23:35:51
1707,1113,11,package,Crax sp.,2021-06-08 08:33:29
1420,1220,10,mil,Irania gutteralis,2021-05-29 19:25:38
1452,1017,17,pill,Nyctea scandiaca,2021-09-29 13:19:37
1685,1363,19,pill,Phalacrocorax niger,2021-07-19 09:31:08
1268,1033,20,bottle,Papio ursinus,2021-03-01 05:07:58
1225,1084,19,mil,Macropus rufogriseus,2021-03-28 03:42:36
1909,1031,2,gram,Uraeginthus granatina,2021-08-05 04:25:28
1240,1454,6,bottle,Dasyurus maculatus,2021-01-18 16:50:37
1575,1467,7,mg,Chauna torquata,2021-05-25 23:17:00
1416,1333,7,bottle,Alcelaphus buselaphus caama,2021-02-07 09:51:46
1233,1112,19,mg,Kobus defassa,2021-09-05 05:23:59
1723,1361,7,bottle,Melursus ursinus,2021-04-03 22:25:04
1236,1175,20,gram,Macropus robustus,2021-09-16 07:29:44
1017,1454,9,package,Ctenophorus ornatus,2021-04-26 12:32:29
1277,1395,2,mg,Zalophus californicus,2021-07-14 02:46:23
1637,1170,18,mg,unavailable,2021-08-04 16:01:26
1437,1029,19,count,Ceratotherium simum,2021-10-10 11:23:39
1570,1162,8,gram,Corvus brachyrhynchos,2020-12-17 06:46:29
1680,1277,1,bottle,Spheniscus mendiculus,2020-12-01 18:22:45
1931,1380,4,mil,Halcyon smyrnesis,2021-10-01 00:35:54
1594,1233,8,bottle,Corvus albicollis,2021-09-03 02:02:31
1450,1160,11,mg,Cyrtodactylus louisiadensis,2021-02-01 13:37:25
1412,1077,9,gram,Lutra canadensis,2021-01-15 19:01:59
1155,1333,6,mil,unavailable,2020-12-22 03:46:20
1443,1093,5,count,Butorides striatus,2021-08-15 13:04:40
1599,1256,6,gram,Plegadis ridgwayi,2021-08-07 17:20:08
1487,1178,6,count,Ursus maritimus,2021-02-08 23:06:17
1323,1399,16,gram,Marmota flaviventris,2021-11-05 09:56:20
1809,1301,4,mg,Cereopsis novaehollandiae,2021-05-24 22:23:17
1570,1428,6,pill,Corvus brachyrhynchos,2021-05-27 18:15:50
1734,1330,20,count,Chlamydosaurus kingii,2021-05-19 02:48:24
1590,1475,13,count,Varanus albigularis,2021-09-29 12:48:42
1728,1499,9,pill,Felis caracal,2021-04-28 15:33:38
