productID,name,brand,price,color,size,quantity,description,category,createdAt,updatedAt
1001,Hydrocodone Bitartrate and Acetaminophen,Mycat,34.61,Orange,L,281,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Drugs,2021-01-27 18:47:58,2021-11-05 12:36:44
1002,CANDIDA ALBICANS,Skiptube,204.75,Teal,3XL,248,Fusce consequat. Nulla nisl. Nunc nisl.,Drugs,2020-12-27 05:51:25,2021-09-10 10:11:09
1003,Menthol,Photospace,32.38,Indigo,3XL,151,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Drugs,2020-11-07 10:16:08,2021-10-22 02:52:04
1004,Hydrocortisone,Eabox,29.53,Indigo,3XL,196,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Drugs,2020-12-31 01:27:21,2021-10-24 06:26:00
1005,Loratadine,Fatz,200.26,Khaki,M,167,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Drugs,2021-02-18 17:08:49,2021-09-22 13:50:44
1006,AVOBENZONE and OCTINOXATE,Mydo,140.92,Pink,M,53,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Drugs,2020-11-26 06:49:24,2021-03-24 11:52:07
1007,temazepam,Youtags,217.93,Teal,M,175,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Drugs,2020-11-08 09:31:55,2021-09-21 10:34:20
1008,ABILIFY,Flipopia,110.32,Fuscia,XS,151,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Drugs,2021-01-09 14:43:02,2021-05-13 02:05:45
1009,Lemon,Wordware,211.52,Pink,M,290,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,Drugs,2021-02-11 09:58:19,2021-09-26 06:20:50
1010,Octreotide acetate,Edgeclub,53.81,Aquamarine,L,192,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Drugs,2021-02-10 08:28:52,2021-06-25 10:23:07
1011,Octinoxate,Youfeed,137.21,Khaki,M,260,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",Drugs,2020-11-29 18:41:59,2021-10-30 09:50:31
1012,1.1% Sodium Fluoride Prescription Dental Cream,Zava,141.47,Violet,XS,94,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Drugs,2020-12-18 18:13:47,2021-10-05 14:49:33
1013,Loratadine,Cogidoo,51.49,Blue,2XL,163,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Drugs,2021-01-09 18:07:42,2021-05-11 01:55:09
