product_id,sale_id,quantity,description,createdAt
1518,1305,15,methodical,2021-07-14 13:21:10
1679,1251,3,6th generation,2021-05-26 15:16:32
1690,1779,6,even-keeled,2021-01-19 20:35:15
1566,1231,1,Sharable,2020-11-29 19:17:22
1591,1661,11,complexity,2021-07-27 15:48:01
1772,1876,6,paradigm,2021-03-14 13:27:34
1843,1203,12,impactful,2021-01-21 04:06:48
1910,1451,5,bottom-line,2021-07-30 18:29:34
1538,1628,15,Horizontal,2021-07-05 15:32:46
1773,1371,1,utilisation,2021-05-09 16:49:25
1942,1632,5,optimal,2021-01-02 23:36:18
1932,1712,4,systemic,2020-12-05 11:20:01
1756,1211,7,fresh-thinking,2021-10-31 04:33:47
1760,1205,4,Diverse,2021-09-03 02:07:48
1767,1054,14,Exclusive,2021-07-29 07:36:58
1624,1977,10,logistical,2021-10-27 14:45:47
1868,1571,10,impactful,2021-09-08 10:19:05
1754,1862,12,Grass-roots,2021-06-28 03:59:33
1580,1812,11,open system,2021-03-17 09:00:02
1814,1461,7,superstructure,2021-10-29 12:16:45
1588,1963,1,web-enabled,2021-10-23 08:13:23
1811,1864,4,contextually-based,2021-07-28 06:11:47
1620,1506,14,matrix,2021-06-09 18:21:38
1988,1578,9,explicit,2020-11-22 18:13:34
1759,1839,5,4th generation,2021-08-09 21:54:40
1895,1408,5,Phased,2021-03-03 18:54:54
1873,1649,9,Configurable,2021-09-05 04:27:55
1805,1793,7,product,2021-03-28 07:38:12
1633,1157,8,multimedia,2021-04-20 18:37:12
1673,1314,3,neural-net,2021-03-08 18:33:05
1876,1868,11,matrix,2021-01-09 03:02:50
1992,1259,14,Synergistic,2020-12-26 12:33:32
1867,1464,10,Fundamental,2021-08-28 00:52:27
1619,1683,13,Horizontal,2021-01-01 06:14:09
1925,1152,9,De-engineered,2021-10-10 01:45:47
1522,1117,3,Organized,2021-03-30 21:40:12
1535,1938,10,real-time,2021-09-02 02:29:22
1947,1409,12,paradigm,2021-10-03 08:47:08
1607,1817,13,dynamic,2021-09-24 04:29:38
1514,1156,15,bottom-line,2020-12-17 10:01:54
1852,1745,11,methodology,2021-06-17 07:47:07
1612,1887,11,firmware,2021-09-08 12:51:13
1538,1040,14,systemic,2021-07-31 20:20:32
1744,1979,14,Optional,2021-11-04 14:12:21
1868,1750,13,attitude-oriented,2021-05-24 13:35:52
1822,1667,14,support,2020-12-11 11:40:38
1657,1614,3,implementation,2021-05-19 12:09:44
1625,1468,10,ability,2021-03-03 19:32:10
1814,1159,9,superstructure,2021-08-07 17:21:12
1513,1288,5,full-range,2021-08-07 13:42:30
1842,1554,11,Devolved,2021-02-16 23:32:58
1724,1350,5,productivity,2020-11-24 08:20:44
1900,1347,13,database,2020-11-24 17:57:54
1726,1738,1,directional,2021-01-06 02:27:48
1801,1796,11,static,2021-10-14 14:04:05
1729,1628,3,empowering,2021-03-27 05:15:46
1544,1492,14,Robust,2021-06-24 00:13:20
1962,1089,15,architecture,2021-03-06 12:50:14
1515,1604,3,Extended,2021-09-09 08:01:02
1674,1107,6,optimal,2021-02-21 03:08:05
1901,1776,5,capability,2021-02-06 17:25:48
1583,1373,6,zero defect,2021-11-04 06:51:28
1575,1993,11,support,2021-07-02 15:59:54
1695,1266,15,Intuitive,2021-04-28 07:50:18
1775,1547,8,Re-contextualized,2020-12-09 04:04:31
1617,1383,6,Streamlined,2021-06-29 01:09:23
1616,1583,3,Profound,2021-01-11 22:05:54
1828,1430,13,Reactive,2021-02-09 02:25:20
1813,1948,3,monitoring,2021-04-06 01:01:20
1676,1228,10,utilisation,2020-11-29 16:13:49
1827,1710,13,Vision-oriented,2021-01-22 10:23:38
1659,1038,7,6th generation,2021-07-28 06:16:54
1803,1836,2,Cross-group,2021-06-02 16:55:16
1610,1414,15,zero administration,2021-05-25 07:37:29
1585,1256,1,directional,2021-01-30 12:23:27
1794,1017,15,exuding,2021-04-15 19:56:52
1675,1389,6,intermediate,2021-10-28 06:50:57
1940,1671,3,system-worthy,2020-11-12 14:11:31
1924,1197,11,moratorium,2020-12-18 21:50:32
1776,1273,11,Pre-emptive,2021-04-24 19:03:16
1806,1092,13,hardware,2020-11-15 04:25:11
1698,1404,14,Enterprise-wide,2021-02-16 14:51:04
1724,1171,13,Fully-configurable,2021-08-06 19:05:09
1503,1115,7,hybrid,2021-06-29 14:32:14
1878,1231,9,hardware,2021-11-04 23:05:31
1814,1470,12,bandwidth-monitored,2021-07-01 15:01:43
1859,1583,15,Cross-platform,2021-03-12 05:13:32
1652,1845,10,Universal,2021-07-30 15:52:21
1924,1138,8,projection,2021-06-30 04:22:24
1827,1612,6,info-mediaries,2021-02-03 20:27:36
1638,1141,13,Profit-focused,2021-10-08 09:11:43
1678,1532,6,Phased,2021-02-08 08:00:39
1806,1063,4,migration,2021-09-18 04:25:16
1577,1925,12,exuding,2020-12-02 18:19:19
1707,1105,13,Sharable,2021-01-19 15:27:56
1844,1863,1,function,2021-04-21 12:17:12
1545,1570,8,dedicated,2021-03-14 15:57:00
1779,1450,15,Team-oriented,2021-03-02 12:45:21
1796,1270,10,system-worthy,2020-11-25 08:31:58
1830,1641,12,regional,2020-12-05 18:33:30
1525,1377,8,challenge,2021-04-25 02:09:30
1670,1215,7,didactic,2021-07-16 18:25:02
1722,1048,4,Open-architected,2021-09-29 05:21:48
1699,1173,6,non-volatile,2021-04-26 20:19:55
1774,1119,9,frame,2021-06-29 13:38:36
1632,1266,11,structure,2021-09-20 10:01:15
1734,1176,12,responsive,2020-12-15 02:00:02
1666,1693,8,bandwidth-monitored,2020-11-27 02:14:19
1970,1322,10,product,2021-10-10 11:10:39
1529,1613,4,Profound,2021-10-22 03:20:55
1930,1221,13,Expanded,2021-10-18 15:39:06
1988,1872,5,Sharable,2021-06-07 09:53:22
1685,1752,7,cohesive,2021-09-12 13:49:04
1753,1159,9,executive,2021-05-11 23:41:04
1961,1878,14,alliance,2021-06-17 06:00:56
1514,1523,3,process improvement,2021-05-17 11:48:46
1643,1930,3,Optimized,2021-10-22 04:26:09
1957,1998,12,system-worthy,2021-01-21 22:39:15
1976,1393,9,national,2021-05-18 11:17:24
1815,1247,10,functionalities,2021-09-08 08:56:25
1587,1355,5,zero administration,2021-06-19 00:13:10
1884,1946,14,4th generation,2020-11-18 09:02:12
1687,1103,14,Proactive,2020-12-28 04:14:19
1510,1176,2,function,2021-01-22 18:13:16
1908,1812,2,Secured,2020-12-27 04:00:56
1889,1701,11,De-engineered,2021-03-10 22:09:15
1503,1541,13,budgetary management,2020-11-10 06:28:06
1865,1157,14,Multi-tiered,2021-08-03 12:41:28
1866,1146,8,grid-enabled,2021-08-15 08:42:49
1588,1402,15,Managed,2021-03-25 08:23:37
1919,1375,10,global,2021-06-10 08:29:50
1768,1341,3,Optimized,2021-06-23 21:51:10
1637,1413,3,Organic,2021-10-23 06:33:17
1506,1550,13,asymmetric,2021-06-12 22:14:21
1809,1475,9,holistic,2021-10-08 09:50:55
1706,1882,10,Adaptive,2021-03-24 04:57:44
1879,1852,1,optimal,2021-10-10 09:26:48
1514,1521,2,human-resource,2021-10-09 16:01:15
1970,1978,8,background,2021-09-29 04:28:41
1994,1912,3,Re-contextualized,2021-05-14 20:58:18
1956,1999,4,encryption,2020-12-22 04:16:46
1576,1227,13,data-warehouse,2021-11-03 14:13:09
1791,1232,11,national,2020-12-28 08:42:50
1863,1851,1,national,2021-03-23 05:17:40
1879,1618,5,composite,2021-02-25 04:18:35
1624,1253,5,Assimilated,2021-08-13 13:34:15
1985,1898,7,Integrated,2021-07-10 07:29:36
1619,1073,14,heuristic,2021-05-07 03:02:32
1713,1487,11,project,2021-03-24 19:20:18
1888,1678,8,middleware,2021-10-23 03:01:00
1819,1923,8,knowledge base,2021-04-01 11:59:03
1571,1443,10,info-mediaries,2021-02-25 03:39:35
1743,1439,10,intangible,2021-03-13 10:37:15
1822,1389,2,initiative,2021-02-10 19:46:10
1754,1749,5,Focused,2021-06-13 04:01:28
1631,1346,4,exuding,2020-12-15 17:27:01
1784,1701,14,Cross-platform,2021-01-05 07:59:07
1571,1248,6,info-mediaries,2020-12-26 14:45:22
1888,1869,8,Grass-roots,2021-01-27 22:49:11
1640,1284,11,Extended,2021-07-18 16:41:02
1831,1512,12,support,2021-04-03 07:14:06
1624,1392,7,Compatible,2021-08-01 01:55:02
1934,1130,10,array,2021-09-21 17:46:21
1556,1679,4,Operative,2020-12-14 00:37:04
1684,1657,1,emulation,2021-11-01 15:48:27
1565,1416,11,Graphical User Interface,2020-11-17 21:24:08
1824,1098,2,architecture,2021-08-26 19:35:25
1920,1992,9,fault-tolerant,2021-09-02 00:40:37
1984,1971,2,local,2021-01-20 14:14:40
1847,1941,6,radical,2020-12-25 06:25:45
1812,1164,10,intranet,2021-08-18 13:14:12
1928,1800,6,Optimized,2021-10-25 17:04:00
1573,1751,1,Switchable,2021-02-01 19:58:35
1705,1333,4,contingency,2021-06-19 21:16:41
1625,1957,3,explicit,2021-05-17 03:36:40
1872,1506,14,instruction set,2021-01-19 09:27:43
1954,1947,13,success,2021-07-19 09:19:28
1655,1812,8,5th generation,2021-06-27 03:54:30
1618,1741,6,human-resource,2020-11-22 08:50:31
1586,1670,4,Intuitive,2021-04-13 17:23:47
1801,1477,8,Focused,2021-08-06 14:36:41
1622,1423,5,real-time,2021-01-30 12:12:24
1550,1927,1,Organic,2021-04-20 19:41:51
1871,1955,15,24 hour,2020-11-10 19:44:36
1854,1564,1,Down-sized,2021-08-27 19:01:24
1622,1356,1,adapter,2020-11-19 21:43:31
1663,1023,12,next generation,2021-04-25 11:21:19
1660,1492,7,Networked,2021-05-18 09:08:26
1713,1025,1,cohesive,2021-05-31 05:16:41
1614,1546,11,even-keeled,2021-07-09 01:22:10
1906,1724,10,Universal,2021-07-16 06:51:26
1819,1731,3,zero defect,2020-11-14 10:42:45
1780,1214,11,impactful,2021-03-12 02:51:59
1770,1085,14,intranet,2021-04-23 21:39:38
1679,1309,4,foreground,2021-11-06 15:08:12
1750,1686,7,Total,2020-11-13 21:55:56
1707,1649,15,Reactive,2020-11-18 04:17:41
1685,1722,14,local,2021-04-01 15:53:08
1977,1404,2,flexibility,2021-01-02 09:29:03
1561,1609,4,Decentralized,2021-09-09 02:36:18
1898,1630,13,Pre-emptive,2020-11-20 18:20:25
1567,1561,6,Configurable,2021-06-08 04:04:02
1956,1843,7,application,2021-01-12 16:45:15
1540,1412,12,process improvement,2021-04-04 06:41:22
1639,1401,15,Fully-configurable,2021-04-03 02:50:54
1542,1321,6,website,2021-02-14 16:30:48
1603,1309,7,composite,2021-03-04 23:34:16
1598,1547,9,Balanced,2021-01-18 22:45:35
1959,1808,6,Intuitive,2021-10-09 16:58:10
1541,1642,11,orchestration,2021-01-14 00:41:22
1662,1147,1,concept,2021-05-23 13:08:14
1749,1952,12,encryption,2021-07-14 05:03:29
1561,1587,1,Intuitive,2020-12-15 08:27:55
1581,1088,3,protocol,2021-01-29 02:24:32
1779,1115,6,Advanced,2020-11-11 07:44:21
1569,1027,15,synergy,2021-02-12 09:06:22
1934,1422,1,Synergistic,2021-07-18 22:02:46
1547,1372,11,intangible,2020-11-12 01:25:55
1505,1189,6,Multi-lateral,2021-11-04 17:43:05
1828,1834,7,Exclusive,2020-11-24 14:18:06
1843,1271,9,model,2020-12-08 07:04:58
1764,1886,12,approach,2021-01-28 03:26:29
1822,1972,13,customer loyalty,2020-12-02 03:26:54
1881,1279,3,mobile,2021-03-07 13:15:29
1578,1302,14,national,2021-04-20 20:03:22
